U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P20192389400015408412         ACO CEARENSE METALON 20 X 20 0.90                 PC    ATT1700000000001815
P20192389400015408413         ACO CEARENSE METALON 25 X 25 0.90                 PC    ATT1700000000002250
P20192389400015408414         ACO CEARENSE METALON 30 X 20 0.90                 PC    ATT1700000000002360
P20192389400015408415         ACO CEARENSE METALON 40 X 20 0.90                 PC    ATT1700000000002670
P20192389400015408416         ACO CEARENSE METALON 50 X 20 0.90                 PC    ATT1700000000002920
P20192389400015408417         ACO CEARENSE METALON 40 X 40 0.90                 PC    ATT1700000000003620
P20192389400015408418         ACO CEARENSE TUBO INDUSTRIAL 1.1/2 X 1.20         M     ATT1700000000000575
P20192389400015408419         ACO CEARENSE TUBO INDUSTRIAL 3/4 X 0.90           M     ATT1700000000000230
P20192389400015408421         ACO CEARENSE METALON 50 X 30 0.90                 PC    ATT1700000000003625
P20192389400015408422         GERDAU BARRA REDONDA 1.1/2                        PC    ATT1700000000029580
P20192389400015408423         IQUINE ZARCOFER 3.6L                              UNI   ATT1700000000007600
P20192389400015408424         IQUINE ZARCOFER 0.9                               LT    ATT1700000000001400
P20192389400015408425         REBITOP REBITE 310                                UNI   ATT1700000000000005
P20192389400015408426         REBITOP REBITE 312                                UNI   ATT1700000000000005
P20192389400015408427         REBITOP REBITE 314                                UNI   ATT1700000000000005
P20192389400015408429         REBITE REP AL 3/16 X 1/2 512 5X12MM               UNI   ATT1700000000000012
P20192389400015408430         REBITOP REBITE 519                                UNI   ATF0000000000000009
P20192389400015408431         SERRA STARRETT                                    PC    ATT1700000000000570
P20192389400015408432         STAM FECHADURA PERFIL 603/03 GRAFITE              UNI   ATF0000000000003799
P20192389400015408433         STAM FECHADURA M-201                              UN    ATF0000000000003200
P20192389400015408434         ALIANCA FECHADURA SOBREPOR 1500                   PC    ATT1700000000002500
P20192389400015408436         ALAVANCA ALUMINIO                                 PC    ATT0000000000000275
P20192389400015408437         ARRUELA LISA POLIDA 3/16                          KG    ATF0000000000002399
P20192389400015408438         ARRUELA ZINCADA 3/16                              KG    ATF0000000000002000
P20192389400015408439         GERDAU VERGALHAO 5/8 CA-50                        PC    ATF0000000000008459
P20192389400015408440         ACO CEARENSE TUBO INDUSTRIAL 2 - 2.00             M     ATT1700000000001210
P20192389400015408441         ACO CEARENSE TUBO INDUSTRIAL 2 - 1.50             M     ATT1700000000000840
P20192389400015408442         ACO CEARENSE CHAPA PRETA 16 2 X 1.00              PC    ATT1700000000011099
P20192389400015408000         CBA PERFIL AL LIGA 6060 N-0127 TRILHO CORTINA     M     ATT1700000000000470
P20192389400015408001         CBA TRILHO DUPLO/PERFIL AL LIG 6063 N 1190        M     ATT1700000000000600
P20192389400015408004         CBA PERFIL AL LIGA 6063 N-0827/CADEIRINHA P/BOX   M     ATT1700000000000780
P20192389400015408009         CBA PERFIL AL LIGA 6063 KR-1056 REDONDO 3/4 ALUM  M     ATT1700000000000660
P20192389400015408008         CBA PERFIL AL LIGA 6063 Q-0001/TRILHO             M     ATT1700000000000300
P20192389400015408010         CBA PERFIL AL LIGA 6063 N-1701                    M     ATT1700000000001310
P20192389400015408011         CANTO P/ CERAMICA FOSCO CL-016                    M     ATT1700000000000400
P20192389400015408012         CBA PERFIL AL LIGA 6063 N-0144                    M     ATT1700000000000270
P20192389400015408014         CBA PERFIL AL LIGA 6063 TG074K045 2X1/2           M     ATT1700000000001220
P20192389400015408021         CBA PERFIL AL LIGA 6063 L-0046                    M     ATT1700000000000385
P20192389400015408035         CBA PERFIL AL LIGA 6063 N-1364/DIV.BANDEIRA       M     ATT1700000000001960
P20192389400015408036         CBA PERFIL AL LIGA 6063 N-1959                    M     ATT1700000000001350
P20192389400015408041         CBA PERFIL AL LIGA 6063 N-1153                    M     ATT1700000000000680
P20192389400015408072         CBA PERF AL LIGA 6063 N-1894/MOLD.BOX L-25        M     ATT1700000000000700
P20192389400015408444         CBA REGUA PERFIL AL LIGA 6063 N-1682/REFORÇADA    M     ATT1700000000002050
P20192389400015408445         CBA PERFIL AL LIGA 6063 N-1608                    M     ATT1700000000001500
P20192389400015408448         CBA PERFIL AL LIGA 6063 N-1575                    M     ATT1700000000000935
P20192389400015408449         CBA PERFIL AL LIGA 6063 N-848                     M     ATT1700000000000840
P20192389400015408450         CBA PERFIL AL LIGA 6063 N-1369                    M     ATT1700000000001800
P20192389400015408451         CBA PERFIL AL LIGA 6060 E-0656                    M     ATT1700000000000700
P20192389400015408452         CBA PERFIL AL LIGA 6063 L-0017                    M     ATT1700000000001260
P20192389400015408453         CBA PERF AL LIGA 6063 K-0004/TUB.RET.1X1/2 PESADO M     ATF0000000000001190
P20192389400015408454         CBA PERFIL AL LIGA 6063 K-0401                    M     ATT1700000000000380
P20192389400015408455         CBA PERFIL AL LIGA 6063 N-0012                    M     ATT1700000000000710
P20192389400015408458         CBA PERFIL AL LIGA 6063 N-0824                    M     ATT1700000000000500
P20192389400015408459         CBA PERFIL AL LIGA 6063 N-1611                    M     ATT1700000000001210
P20192389400015408460         CBA PERFIL TUBO REDONDO KR-1011                   M     ATT1700000000000550
P20192389400015408461         CBA PERFIL AL LIGA 6063 R-019                     M     ATT1700000000000670
P20192389400015408462         CBA PERFIL AL LIGA 6063 N-1702                    M     ATT1700000000001250
P20192389400015408463         CBA PERFIL AL LIGA 6063 K-1010                    M     ATT1700000000000130
P20192389400015408087         POLIEST. LISO 98 X 180 002 CRISTAL 2MM            PC    ATT1700000000007990
P20192389400015408088         POLIEST NIAGARA 98 X 180 002 CRISTAL              PC    ATT1700000000005550
P20192389400015408089         POLIEST NIAGARA 98 X 180 002 FUME                 PC    ATT1700000000005550
P20192389400015408467         GERDAU TUBO GALVANIZADO 2 X 2.65 MM               M     ATT1700000000003460
P20192389400015408468         GERDAU BARRA CHATA 2 X 3/16                       M     ATT1700000000001110
P20192389400015408469         ACO CEARENSE CHAPA PRETA 20 2 X 1.00              PC    ATT1700000000006890
P20192389400015408470         ACO CEARENSE CHAPA GALVANIZADA 20 2 X 1           PC    ATT1700000000007910
P20192389400015408471         ACO CEARENSE CHAPA GALVANIZADA 18 2 X 1           PC    ATT1700000000012270
P20192389400015408472         ACO CEARENSE CHAPA GALVANIZADA 16 2 X 1           PC    ATT1700000000011799
P20192389400015408474         CBA PERFIL AL LIGA 6060 L-0001                    M     ATT1700000000000375
P20192389400015408475         CBA PERFIL BARRA AL LIGA 6060 R-0004              M     ATT1700000000000150
P20192389400015408476         ACO CEARENSE CHAPA PRETA 22 2 X 1.00              PC    ATT1700000000005099
P20192389400015408478         CBA REGUA PERFIL AL LIGA 6063 K-0042              M     ATT1700000000001610
P20192389400015408479         GERDAU VERGALHAO 3/4 CA-50                        PC    ATF0000000000015900
P20192389400015408480         POLIEST PANTANAL 98 X 180 X 002 CRISTAL           PC    ATT1700000000005550
P20192389400015408481         POLIEST MONOCRIL 98 X 180 X 002 CARAMELO          PC    ATT1700000000005550
P20192389400015408483         POLIEST LISO 98 X 180 X 002 FUME                  PC    ATT1700000000005550
P20192389400015408484         POLIEST LISO 098 X 180 X 002 LEITOSO              PC    ATT1700000000005999
P20192389400015408485         POLIEST NIAGARA 98 X 180 X 002 CARAMELO           PC    ATT1700000000005550
P20192389400015408486         POLIEST PANTANAL 98 X 180 X 002 CARAMELO          PC    ATT1700000000005550
P20192389400015408487         POLIEST ESTRELADO 98 X 180 X 002 FUME             PC    ATT1700000000005550
P20192389400015408488         POLIEST PANTANAL 98 X 180 X 002 FUME              PC    ATT1700000000005550
P20192389400015408489         ACO CEARENSE TUBO INDUSTRIAL 1.1/2 X 2.00         M     ATT1700000000000920
P20192389400015408355         GERDAU BARRA CHATA 1 X 3/16                       PC    ATT1700000000002760
P20192389400015408357         GERDAU BARRA CHATA 1.1/2 X 3/16 6MTS              PC    ATT1700000000003990
P20192389400015408491         GERDAU MALHA POP MEDIA 2X3M                       PC    ATF0000000000004480
P20192389400015408492         ACO CEARENSE CHAPA GALVANIZADA 26 2 X 1           PC    ATT1700000000004730
P20192389400015408494         TARUGO 1/2                                        PC    ATF0000000000000150
P20192389400015408495         TARUGO 5/8                                        PC    ATF0000000000000280
P20192389400015408498         PUXADOR JANELA FECHO CENTRAL/HAGA                 UN    ATT1700000000000900
P20192389400015408500         BOSH DISCO DESBATE 7 X 3/16                       PC    ATT1700000000000275
P20192389400015408502         REBITE FERRO 1/8 X 1/4                            KG    ATF0000000000002899
P20192389400015408503         REBITE FERRO 3/16 X 1/2                           KG    ATF0000000000002199
P2019238940001548152          PUXADOR TUBULAR 300 POLIDO TVB 300                CJ-   ATF0000000000006150
P20192389400015408506         GERDAU BARRA CHATA 1/2 X 1/8                      PC    ATT1700000000000860
P20192389400015408508         ACO CEARENSE TIRA ART GALV. PESADA 0.50 3,40KG    PC    ATT1700000000001960
P20192389400015408509         ACO CEARENSE TIRA ARTICULADA GALV. LEVE 0.43      PC    ATT1700000000001690
P20192389400015408511         ACO CEARENSE FITA P/ PORTA.1                      KG    ATT1700000000001500
P20192389400015408512         ACO CEARENSE MOLA P/ PORTA 1.1/2                  KG    ATT1700000000001210
P20192389400015408517         ACO CEARENSE TUBO PATENTE 3/4 X 2.00              M     ATT1700000000000730
P20192389400015408518         ACO CEARENSE TUBO PATENTE 1 X 2.00                M     ATF0000000000000835
P20192389400015408519         ACO CEARENSE TUBO PATENTE 1.1/4 X 2.00            M     ATF0000000000001070
P20192389400015408520         ACO CEARENSE TUBO PATENTE 1.1/2 X 2.00            M     ATF0000000000001225
P20192389400015408521         ACO CEARENSE TUBO PATENTE 2 X 2.00                M     ATF0000000000001530
P20192389400015408522         ACO CEARENSE TUBO PATENTE 2.1/2 X 2.00            M     ATF0000000000001960
P20192389400015408524         SHADE LENTE P/ SOLDA.10/12                        UN    ATF0000000000000130
P20192389400015408527         PARAFUSO DE FENDA BOLEADO 3/4 X 1/4               PC    ATF0000000000000022
P20192389400015408528         PARAFUSO DE FENDA 4.2X20                          PC    ATF0000000000000015
P2019238940001548175          BANDEIRANTES VIDRO TEMP VERDE 8MM                 M2    ATF0000000000020000
P20192389400015408530         POLIEST MONOCRIL 098 X 180 X 002 VERDE            UN    ATT1700000000005550
P20192389400015408531         POLIEST PANTANAL 098 X 180 X 002 VERDE            UN    ATT1700000000005550
P20192389400015408532         POLIEST AMAZONAS 098 X 180 X 002 FUME             UN    ATT1700000000005550
P20192389400015408533         TARUGO 3/4                                        PC    ATF0000000000000375
P20192389400015408535         GERDAU BARRA CHATA 2 X 1/4                        M     ATT1700000000001145
P20192389400015408536         GERDAU PREGO CC 3 X 8                             KG    ATF0000000000000850
P20192389400015408537         GERDAU TUBO GALVANIZADO 3                         M     ATT1700000000004150
P20192389400015408538         ACO CEARENSE TUBO GALV. 2.1/2 - 2.65              M     ATT1700000000002660
P20192389400015408539         GERDAU BARRA CHATA 2 X 1/2                        M     ATT1700000000002585
P20192389400015408542         GERDAU ESTRIBO VERGALHAO ACO 4.2 7X17             PC    ATF0000000000000041
P20192389400015408543         GERDAU ESTRIBO VERGALHAO ACO 4.2 7X27             PC    ATF0000000000000055
P20192389400015408544         GERDAU CANTONEIRA 2 X 3/16                        PC    ATT1700000000011385
P20192389400015408545         ACO CEARENSE TUBO INDUSTRIAL 1/2 X 0.90           M     ATT1700000000000175
P20192389400015408548         ACO CEARENSE TUBO PATENTE 1/2 X 2.00              M     ATT1700000000000555
P20192389400015408549         ACO CEARENSE TUBO PATENTE 3 X 2.00                M     ATF0000000000002165
P20192389400015408550         ACO CEARENSE CHAPA GALVANIZADA 28 2 X 1           PC.   ATT1700000000004670
P20192389400015408551         ACO CEARENSE CHAPA GALVANIZADA 14 2 X 1           PC    ATT1700000000017299
P20192389400015408552         ACO CEARENSE PERFIL U GALVANIZADO LEVE 1.25       PC    ATT1700000000002330
P20192389400015408554         ALIANCA TRANQUETA 86108/2                         PC    ATT1700000000000250
P20192389400015408555         BOSH DISCO CORTE PLANO 514                        PC    ATT1700000000000560
P20192389400015408556         GERDAU BARRA CHATA 2 X 3/8                        M     ATT1700000000001970
P20192389400015408557         GERDAU CANTONEIRA 3/4 X 1/8                       PC    ATT1700000000002530
P20192389400015408558         GERDAU BARRA QUADRADA 5/8                         PC    ATT1700000000005700
P20192389400015408559         CBA PERFIL AL LIGA 6063 N-1960                    M     ATT1700000000001550
P20192389400015408560         BOSH DISCO METAL 7 X 1/8                          PC    ATT1700000000000310
P20192389400015408564         GERDAU BARRA REDONDA 1/4 6MTS                     PC    ATT1700000000000800
P20192389400015408565         GERDAU ARAME FARPADO 250 MT                       PC    ATF0000000000012099
P20192389400015408566         GERDAU ARAME FARPADO 500 MT                       PC    ATF0000000000023000
P20192389400015408567         ACO CEARENSE PERFIL U 2 X 2.65MM                  M     ATT1700000000000840
P20192389400015408568         ACO CEARENSE PERFIL U 2 X 3.00MM                  M     ATT1700000000000950
P20192389400015408569         REBITOP REBITE AL 412                             UNI   ATT1700000000000005
P20192389400015408573         ALIANCA RODANA P/ TRILHA 1/4                      PC    ATT1700000000000180
P20192389400015408574         PARAFUSO ALTO ATARRACHANTE 3/4 X 7                PC    ATF0000000000000006
P20192389400015408575         FECHO DE EMBUTIR 7                                UNI   ATT1700000000002300
P20192389400015408576         FECHO DE EMBUTIR 3.5                              UNI   ATT1700000000000330
P20192389400015408577         FECHO ALIANCA                                     UNI   ATT1700000000000110
P20192389400015408578         PARAFUSO FENDA 1X8                                PC    ATF0000000000000005
P20192389400015408579         GERDAU BARRA CHATA 1.1/2 X 1/4                    PC    ATT1700000000005960
P20192389400015408580         STAM FECHADURA 901 PORTAO BUZIO DE CORRER         UN    ATF0000000000004599
P20192389400015408581         LANCA LIRIO 1/2                                   PC    ATF0000000000000240
P20192389400015408582         LANCA FANTASIA 1/2                                PC    ATF0000000000000165
P20192389400015408583         LANCA COLONIAL POP. 112                           PC    ATT1700000000000165
P20192389400015408584         ACO CEARENSE METALON GALV 50 X 30 0.95            PC    ATT1700000000004540
P20192389400015408585         ACO CEARENSE METALON 20 X 20 0.75                 PC    ATT1700000000001640
P20192389400015408587         ACO CEARENSE TUBO GALV. 1.1/2 LEVE                M     ATT1700000000002035
P20192389400015408588         ACO CEARENSE TUBO GALV. 2 - 2.65                  M     ATT1700000000002180
P20192389400015408589         ACO CEARENSE TUBO GALV. 1.1/2 - 2.65              M     ATT1700000000001650
P20192389400015408590         ACO CEARENSE TUBO GALV. 2 LEVE                    M     ATT1700000000000310
P20192389400015408591         AGROLAR TELA MOEDA BELACO 1,50 X 0,50 X 26,00     M     ATT1700000000001200
P20192389400015408592         ACO CEARENSE CHAPA ROLO 28 20CM                   KG    ATT1700000000000605
P20192389400015408593         CBA PERFIL AL LIGA 6060-T5 U-0007 5/8             M     ATT1700000000000199
P20192389400015408595         CBA PERFIL AL LIGA 6060 N-2472                    M     ATT1700000000002150
P20192389400015408596         CBA PERFIL AL LIGA 6060 N-2122 PRETO              UNI   ATT1700000000001020
P20192389400015408598         GERDAU GRAMPO 19X11 -1X9 CERCA GALV               KG    ATF0000000000000850
P20192389400015408599         AGROLAR TIRA RAIADA GALV N-2 CH 28 PESADA         PC    ATT1700000000001760
P20192389400015408600         AGROLAR BOBINA C/MOLA 3.00 MTS 45                 PC    ATF0000000000003620
P20192389400015408601         AGROLAR BOBINA C/MOLA 3.50 MTS 45                 PC    ATF0000000000004170
P20192389400015408602         AGROLAR BOBINA C/MOLA 4.00 MTS 45                 PC    ATF0000000000004570
P20192389400015408603         AGROLAR BOBINA C/MOLA 4.50 MTS 45                 PC    ATF0000000000005099
P20192389400015408604         AGROLAR ZARCAO ZARCOTEX CINZA GALAO 3.6           UNI   ATF0000000000004050
P20192389400015408605         AGROLAR ZARCAO ZARCOTEX VERMELHO GALAO 3.6        UNI   ATF0000000000004050
P20192389400015408606         AGROLAR ZARCAO ZARCOTEX CINZA LATA 1/4            UNI   ATF0000000000001125
P20192389400015408607         AGROLAR PERFIL GALVANIZADO 28X28 CHAPA 18         PC    ATT1700000000003070
P20192389400015408608         AGROLAR PE DE PORTA GALVANIZADO CHAPA 18          PC    ATT1700000000005260
P20192389400015408610         GERDAU BARRA REDONDA 3/8 C/ 6MTS                  PC    ATT1700000000001615
P2019238940001548380          DISCO CORTE FERRO 07 AR302 2T MAXI                UNI   ATT1700000000000530
P20192389400015408613         ACO CEARENSE METALON 30 X 30 0.90                 PC    ATT1700000000002750
P20192389400015408614         ACO CEARENSE CHAPA PRETA 14 2X1.20                PC    ATT1700000000018350
P20192389400015408615         ACO CEARENSE PERFIL U 2 X 2.25MM                  PC    ATT1700000000000850
P20192389400015408616         ACO CEARENSE PERFIL U 3 X 2.65MM                  M     ATT1700000000001360
P20192389400015408617         ACO CEARENSE PERFIL U 3 X 2.25MM                  PC    ATT1700000000001060
P20192389400015408618         POLIEST ACQUA 098X180X002 FUME                    PC    ATT1700000000005550
P20192389400015408619         POLIEST ACQUA 098X180X002 CRISTAL                 PC    ATT1700000000005550
P20192389400015408620         POLIEST ACQUA 098X180X002 OURO                    PC    ATT1700000000005550
P20192389400015408621         POLIEST ACQUA 098X180X002 CARAMELO                PC    ATT1700000000005550
P20192389400015408622         POLIEST ACQUA 098X180X002 VERDE                   PC    ATT1700000000005550
