U169915536000133018911978     4650          JUAREZ DE OLIVEIRA ME                             
P26991553600013333            ROLAMENTO SNR 6005                                UNI   ATT1700000000001600
P26991553600013334            ROLAMENTO SNR 6201                                UNI   ATT1700000000001000
P26991553600013335            ROLAMENTO SNR 6202                                UNI   ATT1700000000001500
P26991553600013336            ROLAMENTO SNR 6203                                UNI   ATT1700000000002000
P26991553600013337            ROLAMENTO SNR 6204                                UNI   ATT1700000000002500
P26991553600013338            ROLAMENTO 6205 ZZ C3                              UNI   ATT1700000000001920
P26991553600013339            ROLAMENTO SNR 6206                                UNI   ATT1700000000002500
P26991553600013340            ROLAMENTO SNR 6308                                UNI   ATT1700000000006600
P26991553600013342            PENEIRA 3MM DPM-4/TN-4                            UNI   ATT1700000000006300
P26991553600013343            PENEIRA 5MM DPM-4/TN-4                            UNI   ATT1700000000005200
P26991553600013344            PENEIRA 10MM DPM-4/TN-4                           UNI   ATT1700000000005200
P26991553600013354            ROLAMENTO SKF 6004                                UNI   ATT1700000000001600
P26991553600013345            ROLAMENTO FAG 6004                                UNI   ATT1700000000001600
P2699155360001334045          KIT COMPRESSOR 50L 2.6 PCM                        UNI   ATT1700000000217900
P26991553600013346            ROLAMENTO FAG 6007                                UNI   ATT1700000000002500
P26991553600013347            ROLAMENTO NTN 6005                                UNI   ATT1700000000001600
P26991553600013348            ROLAMENTO SNR 6200                                UNI   ATT1700000000000900
P26991553600013349            ROLAMENTO SNR 6004                                UNI   ATT1700000000001400
P26991553600013350            ROLAMENTO SNR 6205                                UNI   ATT1700000000003000
P26991553600013351            ROLAMENTO NTN 6008                                UNI   ATT1700000000002900
P26991553600013352            ROLAMENTO NTN 6009                                UNI   ATT1700000000004400
P26991553600013353            ROLAMENTO NTN 6004                                UNI   ATT1700000000001400
P2699155360001333352          BOMBA SCHNEIDER BC-21R 1 1/2 7.5CV MANCAL         UNI   ATF0000000000120000
P26991553600013356            ROLAMENTO DSI 6205                                UNI   ATT1700000000001600
P26991553600013357            ROLAMENTO DSI 6003                                UNI   ATT1700000000001500
P26991553600013358            ROLAMENTO SOL 6011                                UNI   ATT1700000000005600
P26991553600013359            ROLAMENTO SKF 6006                                UNI   ATT1700000000002200
P26991553600013360            ROLAMENTO FAG 6008                                UNI   ATT1700000000003500
P26991553600013361            ROLAMENTO FAG 6009                                UNI   ATT1700000000004500
P26991553600013362            ROLAMENTO SKF 6405                                UNI   ATT1700000000036000
P26991553600013363            ROLAMENTO SNR 6208                                UNI   ATT1700000000003800
P26991553600013364            ROLAMENTO SNR 6303                                UNI   ATT1700000000001700
P26991553600013365            ROLAMENTO NTN 6211                                UNI   ATT1700000000008000
P26991553600013366            PARAFUSO CREMASCO 7/16" X 1" DP2/DP4              KG    ATT1700000000000280
P26991553600013367            ROLAMENTO SNR 6210                                UNI   ATT1700000000005000
P26991553600013370            PARAFUSO CONTRA FACA  NOGUEIRA C/ PORCA  EN-6100  UNI   ATT1700000000000400
P26991553600013371            PARAFUSO CONTRA FACA NOGUEIRA 3/8 X 1 EN-12/EN-9  UNI   ATT1700000000000200
P26991553600013372            PORCA CONTRA FACA O]P/ PARAFUSO EN-1/EN-9         UNI   ATT1700000000000100
P26991553600013373            PARAFASUCO NAVALHA CREMASCO  3/8 X 1 DP-J/DP-1    UNI   ATT1700000000000180
P26991553600013374            PARAFUSO CREMASCO C/ PORCA EC-4000 1/2" X 7/8"    UNI   ATT1700000000000500
P26991553600013375            CALIBRADOR 160B SCHWEERS                          UNI   ATT1700000000003900
P26991553600013376            ROLAMENTO NTN 6006                                UNI   ATT1700000000001900
P26991553600013377            CALIBRADOR 120 SCHRADER                           UNI   ATT1700000000002500
P26991553600013378            SERRA STARRET 300MM 12"                           UNI   ATT1700000000000420
P26991553600013379            ELETRODO ECP                                      UNI   ATT1700000000001200
P26991553600013380            COLA POLYTUBOS 75G                                UNI   ATT1700000000000367
P26991553600013381            PARAFUSO NAVALHA NOGUEIRA EN-12/EN-9              UNI   ATT1700000000000280
P26991553600013382            ROLAMENTO SNR 6212                                UNI   ATT1700000000009500
P26991553600013383            CARRETEL P/ ROÇADEIRA MEG                         UNI   ATT1700000000006500
P26991553600013384            ROLAMENTO FAG 6211                                UNI   ATT1700000000009200
P26991553600013385            COLA SILICONE PRETA/VERMELHA                      UNI   ATT1700000000000900
P26991553600013386            ROLAMENTO FAG 6210                                UNI   ATT1700000000006600
P26991553600013387            COLA P/ JUNTA DE MOTORES ORBI QUIMICA 75G (3M)    UNI   ATT1700000000000800
P26991553600013388            ROLAMENTO SKF 6210                                UNI   ATT1700000000006600
P26991553600013389            SERRA LINOX                                       UNI   ATT1700000000000200
P26991553600013390            ROLAMENTO FAG 6208                                UNI   ATT1700000000004400
P26991553600013391            ROLAMENTO SKF 6213                                UNI   ATT1700000000013300
P26991553600013392            ROLAMENTO NTN 6314                                UNI   ATT1700000000032499
P26991553600013393            ROLAMENTO FAG 6313                                UNI   ATT1700000000027999
P26991553600013395            ROLAMENTO FAG 6312                                UNI   ATT1700000000020200
P26991553600013396            ROLAMENTO FAG 6311                                UNI   ATT1700000000013200
P26991553600013397            SELO MECANICO 1.1/8 SELOBRAZ TS-P                 UNI   ATT1700000000003500
P26991553600013399            ROLAMENTO SNR 6311                                UNI   ATT1700000000014500
P269915536000133100           SELO MECANICO 1.1/4" SELOBRAZ TS-P                UNI   ATT1700000000003500
P2699155360001332574          BOMBA SCHNEIDER BC-98 1/3CV 220V                  UNI   ATF0000000000034900
P269915536000133103           ROLAMENTO SNR 6312                                UNI   ATT1700000000022001
P269915536000133104           ROLAMENTO SNR 6307                                UNI   ATT1700000000004600
P269915536000133105           SELO MECANICO 1" SELOBRAZ TS-P                    UNI   ATT1700000000003500
P269915536000133106           SELO MECANICO 7/8" SELOBRAZ                       UNI   ATT1700000000002500
P269915536000133107           ROLAMENTO SNR 6304                                UNI   ATT1700000000002000
P269915536000133108           ROLAMENTO SNR 6305                                UNI   ATT1700000000002600
P2699155360001333212          COLA ADESIVA  PVC 75G INCOLOR TIGRE               UNI   ATT1700000000000390
P269915536000133110           SELO MECANICO 3/4 IMPACOM T-01                    UNI   ATT1700000000003000
P269915536000133111           ROLAMENTO SNR 6306                                UNI   ATT1700000000003500
P269915536000133112           SELO MECANICO EMBURRACHADO 3/4" IMPACOM T-06      UNI   ATT1700000000003000
P269915536000133113           ROLAMENTO NTN 6307                                UNI   ATT1700000000004600
P2699155360001331673          ADAPTADOR AZUL FEMEA ERR 3" INJETPLAS             UNI   ATT1700000000001500
P269915536000133115           SELO MECANICO 5/8" IMPACOM T-16                   UNI   ATT1700000000002500
P269915536000133117           ROLAMENTO NTN 6306                                UNI   ATT1700000000007000
P269915536000133118           SELO MECANICO BACIA 5/8" IMPACOM                  UNI   ATT1700000000002500
P269915536000133119           SELO MECANICO EMBURRACHADO 5/8"  IMPACOM TS-16    UNI   ATT1700000000001700
P269915536000133120           SELO MECANICO EMBURRACHADO 1/2" IMPACOM TS-16     UNI   ATT1700000000002500
P269915536000133121           ROLAMENTO FAG 6306                                UNI   ATT1700000000003700
P269915536000133122           SELO MECANICO EMBURRACHADO 11MM IMPACOM           UNI   ATT1700000000002000
P269915536000133124           ROLAMENTO NTN 6302                                UNI   ATT1700000000001700
P269915536000133126           ROLAMENTO NTN 6310                                UNI   ATT1700000000010500
P269915536000133127           DESENGRIPANTE RAST OFF 300ML                      UNI   ATT1700000000001300
P269915536000133128           DESENGRIPANTE RICALUB 290ML                       UNI   ATT1700000000000600
P269915536000133129           ESCOVA DE CARVÃO 0151                             UNI   ATT1700000000000550
P269915536000133130           ASPERSOR AGROPOLO  NY 30 1                        UNI   ATT1700000000002000
P269915536000133131           BASE INTERMEDIARIA KING C8E10                     UNI   ATF0000000000031500
P269915536000133132           ESCOVA DE CARVÃO 005-B ALAMAR                     UNI   ATT1700000000000200
P269915536000133133           ESCOVA DE CARVÃO 054                              UNI   ATT1700000000000350
P269915536000133134           ASPERSOR SENNINGER 2023HS-1-1/2" M BOCAL N°07     UNI   ATT1700000000003250
P269915536000133135           ESCOVA DE CARVÃO 0150 ALAMAR                      UNI   ATT1700000000000600
P269915536000133136           ESCOVA DE CARVÃO 040 ALAMAR                       UNI   ATT1700000000000400
P269915536000133137           ESCOVA DE CARVÃO 187 BOSCH                        UNI   ATT1700000000000500
P269915536000133138           ABRAÇADEIRA 2.1/2" CH 32MM                        UNI   ATT1700000000001150
P2699155360001334044          PARTIDA FACIL RETRATIL YAMAHO                     UNI   ATT1700000000008800
P269915536000133139           ESCOVA DE CARVÃO 022-B ALAMAR                     UNI   ATT1700000000000150
P269915536000133140           ESCOVA DE CARVÃO 765 H43 BOSCH                    UNI   ATT1700000000000900
P269915536000133141           ESCOVA DE CARVÃO 050 ALAMAR                       UNI   ATT1700000000000550
P269915536000133142           ESCOVA DE CARVÃO 046 ALAMAR                       UNI   ATT1700000000000300
P269915536000133143           ESCOVA DE CARVÃO 05 ALAMAR                        UNI   ATT1700000000000500
P269915536000133144           ESCOVA DE CARVÃO 015 BOSCH                        UNI   ATT1700000000000250
P269915536000133145           ABRAÇADEIRA 1.1/2" CH 32MM                        UNI   ATT1700000000000950
P269915536000133146           ESCOVA DE CARVÃO 036 BOSCH                        UNI   ATT1700000000000650
P269915536000133147           ESCOVA DE CARVÃO 030 BOSCH                        UNI   ATT1700000000000300
P269915536000133148           CHUMBINHO 4.5 MM RIHE                             UNI   ATT1700000000000600
P269915536000133149           ABRAÇADEIRA 1" CH 20MM                            UNI   ATT1700000000000700
P269915536000133150           CHUMBINHO 5.5 MM RIHE                             UNI   ATT1700000000000650
P269915536000133151           ABRAÇADEIRA 1" CH 32MM                            UNI   ATT1700000000000800
P269915536000133152           ABRAÇADEIRA 3/4" CH 20MM                          UNI   ATT1700000000000650
P269915536000133153           CHAVE DE PARTIDA AGC - V4.15 2CV                  UNI   ATT1700000000006800
P269915536000133154           AMPERIMETRO DE 0 A 50 AMP                         UNI   ATT1700000000002700
P269915536000133155           CHAVE DE PARTIDA AGC - V5 3CV                     UNI   ATT1700000000006500
P269915536000133156           OCULOS DE PROTEÇÃO LENTE AMARELA BOSCH            UNI   ATT1700000000002500
P269915536000133157           TERMINAL TRAMONTINA 25MM                          UNI   ATT1700000000000550
P269915536000133158           TERMINAL TRAMONTINA 16MM                          UNI   ATT1700000000000160
P269915536000133159           TERMINAL TRAMONTINA 35MM                          UNI   ATT1700000000000590
P269915536000133160           TERMINAL TRAMONTINA 70MM                          UNI   ATT1700000000000670
P269915536000133161           TERMINAL TRAMONTINA 95MM                          UNI   ATT1700000000001150
P269915536000133162           PONTA DE EIXO KING 2 ESTAGIO                      UNI   ATT1700000000008000
P269915536000133163           TERMINAL TRAMONTINA 10MM                          UNI   ATT1700000000000150
P269915536000133164           TERMINAL TRAMONTINA  50MM                         UNI   ATT1700000000000610
P269915536000133165           PONTA DE EIXO KING 3 ESTAGIOS                     UNI   ATT1700000000012400
P269915536000133166           PONTA DE EIXO KING 4 ESTAGIOS                     UNI   ATT1700000000013500
P269915536000133167           MOLA DE AÇO F22 CARABINA CBC                      UNI   ATT1700000000010000
P269915536000133168           PONTA DE EIXO EM BRONZE SIMPLES S/ ROSCA 1 ESTAGIOUNI   ATT1700000000006000
P269915536000133169           PONTA DE EIXO EM BRONZE C/ PORCA SIMPLES 1 ESTAGIOUNI   ATT1700000000006000
P269915536000133179           ABRAÇADEIRA P/ LAVA-JATO LUMAGI 3/4"              UNI   ATT1700000000001530
P269915536000133171           INTERMEDIARIA LONGA P BOMBA INAP                  UNI   ATT1700000000008500
P269915536000133172           TAMPA OU CARCAÇA KING C8E10                       UNI   ATT1700000000031500
P269915536000133174           ESPIGAO C/ CANAL RF420 MANGUEIRA 1/2 ROSCA1/2     UNI   ATT1700000000001200
P269915536000133175           SELO MECANICO 5/8" IMPACOM TSP                    UNI   ATT1700000000004500
P269915536000133176           ESPIGAO 3/4" PRESSURE                             UNI   ATT1700000000001800
P269915536000133177           ESPIGAO 5/16" PRESSURE                            UNI   ATT1700000000000600
P269915536000133178           ESPIGAO RF402 MANGUEIRA1/4 X  ROSCA3/8            UNI   ATT1700000000000700
P269915536000133180           CONECTOR DE ALUMINIO PARALELO                     UNI   ATT1700000000000750
P269915536000133185           LUVA ELASTICA 145 4 BALATAS FAL                   UNI   ATT1700000000020500
P269915536000133186           LUVA ELASTICA 160 6 BALATAS                       UNI   ATT1700000000022600
P2699155360001334043          MOTOR BOMBA 4T YH30C YAMAHO                       UNI   ATT1700000000099500
P269915536000133187           LUVA ELASTICA 100MM 4 BALATAS                     UNI   ATT1700000000021000
P2699155360001332059          TAMPA VOGES MEC LT 56 LO 3D6919                   UNI   ATT1700000000003500
P269915536000133195           TAMPA TRASEIRA 56 WEG                             UNI   ATT1700000000004500
P269915536000133201           ROTOR ME/1 TRASEIRO                               UNI   ATT1700000000086000
P269915536000133202           ROTOR KING C7R7 3CV ROSCA 5/16                    UNI   ATT1700000000013000
P269915536000133203           ROTOR KING C7E7 3CV ROSCA 3/8                     UNI   ATT1700000000012000
P269915536000133204           ROTOR KING C7E6 2CV ROSCA 3/8                     UNI   ATT1700000000012000
P269915536000133206           ROTOR KING C7E4 1CV ROSCA 3/8"                    UNI   ATT1700000000012000
P269915536000133208           ROTOR KING C8E10 10CV                             UNI   ATT1700000000019200
P269915536000133212           ROTOR KING C7E7 3CV ROSCA 1/2"                    UNI   ATT1700000000012000
P269915536000133214           REGISTRO ESFERA SOLD 20MM IRRIGAÇÃO VÍQUA         UNI   ATT1700000000000750
P269915536000133215           ROTOR ALUMINIO FAMAC ABERTO ROSCA 3/8"            UNI   ATT1700000000010000
P2699155360001332060          TAMPA VOGES 80 B3 LA 3D6424K                      UNI   ATT1700000000003500
P269915536000133220           REGISTRO ESFERA ROSCA PREDIAL 3/4"   VÍQUA        UNI   ATT1700000000000600
P269915536000133225           REGISTRO ESFERA SOLD PREDIAL 20MM  VÍQUA          UNI   ATT1700000000000650
P269915536000133222           REGISTRO ESFERA ROSCA PREDIAL 1.1/2"  VÍQUA       UNI   ATT1700000000001470
P269915536000133223           ROTOR KING C7E5 1.5CV ROSCA 3/8                   UNI   ATT1700000000012000
P269915536000133224           REGISTRO ESFERA SOLD PREDIAL 50MM  VÍQUA          UNI   ATT1700000000001450
P269915536000133226           LUVA ELASTICA 130MM 4 BALATAS                     UNI   ATT1700000000018000
P269915536000133228           REGISTRO ESFERA SOLD 50MM  IRRIGAÇÃO VÍQUA        UNI   ATT1700000000001450
P269915536000133229           REGISTRO ESFERA ROSCA 1" IRRIGAÇÃO VÍQUA          UNI   ATT1700000000001350
P269915536000133232           TAMPA DEFLETORA WEG 90                            UNI   ATT1700000000002150
P269915536000133261           REGISTRO GAVETA 2 DOCOL                           UNI   ATT1700000000009000
P269915536000133234           TAMPA DEFLETORA VOGES 112                         UNI   ATT1700000000004200
P269915536000133239           VALVULA DE ESFERA 3/4" DOCOL                      UNI   ATT1700000000003460
P269915536000133240           TAMPA DEFLETORA WEG 100                           UNI   ATT1700000000002600
P269915536000133243           TAMPA P CAPACITOR VOGES                           UNI   ATT1700000000000250
P269915536000133244           INJETOR JKB 26 1.5CV KING                         UNI   ATT1700000000025800
P269915536000133245           REGISTRO ESFERA FERRO 1/2" DOCOL                  UNI   ATT1700000000002200
P269915536000133246           INJETOR JKB 26 1CV KING                           UNI   ATT1700000000025800
P269915536000133247           INJETOR JKB 36 1.5CV KING                         UNI   ATT1700000000025800
P269915536000133248           REGISTRO ESFERA FERRO 1.1/2" DOCOL                UNI   ATT1700000000013000
P269915536000133249           INJETOR JKB 36 1CV KING                           UNI   ATT1700000000033300
P269915536000133250           INJETOR JKB 36 5CV KING                           UNI   ATT1700000000033300
P269915536000133251           INJETOR JKB 46 1.5CV KING                         UNI   ATT1700000000033300
P269915536000133252           INJETOR JKB 36 2CV KING                           UNI   ATT1700000000033300
P269915536000133253           INJETOR JKA 36 1CV KING                           UNI   ATT1700000000019200
P269915536000133254           REGISTRO ESFERA FERRO 2" DOCOL                    UNI   ATT1700000000016100
P269915536000133255           INJETOR JKA 26 2CV KING                           UNI   ATT1700000000019200
P269915536000133256           INJETOR JKA 36 2CV KING                           UNI   ATT1700000000019200
P269915536000133257           INJETOR JKA 26 1.5CV KING                         UNI   ATT1700000000028500
P269915536000133258           BASE P/ MOTOR GRANDE VOGES                        UNI   ATT1700000000002000
P269915536000133259           BASE P/ MOTOR PEQUENA VOGES                       UNI   ATT1700000000003000
P269915536000133260           SUPORTE PARA DIJUNTOR                             UNI   ATT1700000000001500
P269915536000133262           CORREIA  BALATA  ALAMAR                           M     ATT1700000000005000
P269915536000133263           REGISTRO ESFERA SOLD. 40MM AZUL VIGUA             UNI   ATT1700000000002080
P269915536000133264           REGISTRO GAVETA 1.1/2" DOCOL                      UNI   ATT1700000000004650
P269915536000133265           REGISTRO GAVETA 3" DOGOL                          UNI   ATT1700000000024000
P269915536000133266           VALVULA DE SUCÇAO 3/4" BRONZE DOCOL               UNI   ATT1700000000002200
P269915536000133268           REGISTRO GAVETA 1" DOCOL                          UNI   ATT1700000000003600
P269915536000133269           REGISTRO GAVETA 3/4" DOCOL                        UNI   ATT1700000000002700
P269915536000133270           VALVULA DE SUCÇAO 1.1/2" BRONZE DOCOL             UNI   ATT1700000000006100
P269915536000133271           VALVULA DE SUCÇAO 2" BRONZE DOCOL                 UNI   ATT1700000000009300
P269915536000133272           VALVULA DE SUCÇAO 3/4" PLASTICO CIPLA             UNI   ATT1700000000001800
P269915536000133273           VALVULA DE SUCÇAO 1" PLASTICO CIPLA               UNI   ATT1700000000001900
P269915536000133274           VALVULA DE SUCÇAO 1.1/2" PLASTICO CIPLA           UNI   ATT1700000000002800
P269915536000133275           REGISTRO ESFERA SOLD 75MM IRRIGAÇÃO VIGUA         UNI   ATT1700000000009400
P269915536000133276           ROTOR FAMAC ALUMINIO F6E/1 5CV                    UNI   ATT1700000000011700
P269915536000133278           MANGUEIRA DE AR ESPIRAL 3.6MT                     UNI   ATT1700000000003500
P269915536000133279           REGISTRO ESFERA SOLD 100MM  IRRIGAÇÃO VIGUA       UNI   ATT1700000000023500
P269915536000133280           REGISTRO ESFERA AZUL ROSCA  C/ UNIAO 1.1/2" VIQUA UNI   ATT1700000000002300
P269915536000133281           BASE INTERMEDIARIA KING C7R7                      UNI   ATF0000000000031500
P269915536000133282           REGISTRO ESFERA AZUL ROSCA 2  VIGUA               UNI   ATT1700000000002600
P269915536000133283           REGISTRO ESFERA AZUL ROSCA 1.1/2  VIGUA           UNI   ATT1700000000001450
P269915536000133284           REGISTRO ESFERA SOLD 32MM IRRIGAÇÃO VIGUA         UNI   ATT1700000000001200
P269915536000133285           REGISTRO ESFERA SOLD 25MM IRRIGAÇÃO VIGUA         UNI   ATT1700000000000800
P269915536000133286           CORREIA A-18                                      UNI   ATT1700000000000630
P269915536000133287           CORREIA A-19                                      UNI   ATT1700000000000630
P269915536000133288           CORREIA A-20                                      UNI   ATT1700000000000630
P269915536000133339           CARABINA PRESSAO 4.5  MONT SUPER C/ LUNETA 4 X 32 UNI   ATT1700000000097798
P269915536000133290           CORREIA A-21                                      UNI   ATT1700000000000630
P269915536000133291           LUVA ROSC 1.1/2" KRONA                            UNI   ATF0000000000000590
P269915536000133293           CORREIA A-22                                      UNI   ATT1700000000000630
P269915536000133294           CORREIA A-23                                      UNI   ATT1700000000000638
P269915536000133295           CORREIA A-24                                      UNI   ATT1700000000000638
P269915536000133296           CORREIA A-25                                      UNI   ATT1700000000000650
P269915536000133297           ADAPTADOR 1.1/2" FERRO FAL                        UNI   ATT1700000000000600
P269915536000133298           CORREIA A-26                                      UNI   ATT1700000000000650
P269915536000133299           CORREIA A-27                                      UNI   ATT1700000000000650
P269915536000133300           CORREIA A-28                                      UNI   ATT1700000000000650
P269915536000133301           CORREIA A-29                                      UNI   ATT1700000000000700
P269915536000133302           NIPLE C/ REDUÇÃO P/ MANG 4"X 2.1/2"  F  - LOPES   UNI   ATT1700000000004400
P269915536000133303           CORREIA A-30                                      UNI   ATT1700000000000650
P269915536000133304           CORREIA A-31                                      UNI   ATT1700000000000650
P269915536000133305           LUVA C/ REDUÇÃO FEM/MACH 3 X 2 1/2 FERRO FL       UNI   ATT1700000000003450
P269915536000133306           LUVA C/ REDUÇÃO FEM/MACH 2 X 1.1/2  FERRO FL      UNI   ATT1700000000002200
P269915536000133307           CORREIA A-32                                      UNI   ATT1700000000000700
P269915536000133308           LUVA C/ REDUÇÃO FEM/MACH 2.1/2 X 1.1/2 FERRO FL   UNI   ATT1700000000002800
P269915536000133309           CORREIA A-33                                      UNI   ATT1700000000000688
P269915536000133310           CORREIA A-34                                      UNI   ATT1700000000000688
P269915536000133311           CORREIA A-35                                      UNI   ATT1700000000000700
P269915536000133312           CURVA RED P/ MANGOTE 2" X 1.1/2" FERRO FERREIRA LOUNI   ATT1700000000004600
P269915536000133313           CORREIA A-36                                      UNI   ATT1700000000000710
P269915536000133314           CURVA RED P/ MANGOTE 1.1/2" X 1"  FERRO           UNI   ATT1700000000001650
P269915536000133315           CURVA P/ MANGOTE 1.1/2" FERRO                     UNI   ATT1700000000001900
P269915536000133316           CORREIA A-37                                      UNI   ATT1700000000000700
P269915536000133317           CURVA P/ MANGOTE 2" FERRO FERREIRA LOPES          UNI   ATT1700000000002900
P269915536000133318           CORREIA A-38                                      UNI   ATT1700000000000800
P269915536000133319           CURVA P/ MANGOTE 3" FERRO FERREIRA LOPES          UNI   ATT1700000000004500
P269915536000133320           CORREIA A-39                                      UNI   ATT1700000000000850
P269915536000133321           INJETOR JKB 36 1CV KING                           UNI   ATT1700000000033300
P269915536000133322           CORREIA A-40                                      UNI   ATT1700000000000850
P269915536000133323           CORREIA A-41                                      UNI   ATT1700000000000850
P269915536000133324           CORREIA A-42                                      UNI   ATT1700000000000800
P269915536000133325           CORREIA A-43                                      UNI   ATT1700000000000850
P269915536000133326           CORREIA A-44                                      UNI   ATT1700000000000850
P269915536000133327           CORREIA A-45                                      UNI   ATT1700000000000850
P269915536000133328           VALVULA DE RETENÇAO 1.1/4" DOCOL                  UNI   ATT1700000000006200
P269915536000133329           CORREIA A-46                                      UNI   ATT1700000000000825
P269915536000133330           CORREIA A-47                                      UNI   ATT1700000000000900
P269915536000133331           CORREIA A-48                                      UNI   ATT1700000000001000
P269915536000133332           CORREIA A-49                                      UNI   ATT1700000000000870
P269915536000133333           CORREIA A-50                                      UNI   ATT1700000000000890
P269915536000133334           CORREIA A-51                                      UNI   ATT1700000000000890
P269915536000133335           CARABINA PRESSAO 4.5 NITRO 1000 OX PP             UNI   ATT1700000000109501
P269915536000133336           CARABINA PRESSAO 4.5 NITRO 1300  CROMO PP         UNI   ATT1700000000157410
P269915536000133371           CORREIA A-83                                      UNI   ATT1700000000001300
P269915536000133338           CARABINA PRESSAO 4.5 MONT  STAND PRETA            UNI   ATT1700000000053000
P269915536000133370           CORREIA A-82                                      UNI   ATT1700000000001250
P269915536000133340           CORREIA A-52                                      UNI   ATT1700000000000920
P269915536000133341           CORREIA A-53                                      UNI   ATT1700000000000920
P269915536000133342           CORREIA A-54                                      UNI   ATT1700000000001000
P269915536000133343           CORREIA A-55                                      UNI   ATT1700000000001000
P269915536000133344           CARABINA PRESSAO 5.5  MONT STAND GII              UNI   ATT1700000000088000
P269915536000133345           CORREIA A-56                                      UNI   ATT1700000000001050
P269915536000133346           CORREIA A-57                                      UNI   ATT1700000000000964
P269915536000133347           CORREIA A-58                                      UNI   ATT1700000000000895
P269915536000133348           CORREIA A-59                                      UNI   ATT1700000000000907
P269915536000133349           CORREIA A-60                                      UNI   ATT1700000000001000
P269915536000133350           CORREIA A-61                                      UNI   ATT1700000000001000
P269915536000133351           CORREIA A-62                                      UNI   ATT1700000000001030
P269915536000133352           CORREIA A-63                                      UNI   ATT1700000000001030
P269915536000133353           CORREIA A-64                                      UNI   ATT1700000000001040
P269915536000133354           CORREIA A-65                                      UNI   ATT1700000000001060
P269915536000133355           CORREIA A-66                                      UNI   ATT1700000000001050
P269915536000133356           CORREIA A-67                                      UNI   ATT1700000000001065
P269915536000133357           CORREIA A-68                                      UNI   ATT1700000000001070
P269915536000133358           CORREIA A-69                                      UNI   ATT1700000000001080
P269915536000133359           CORREIA A-70                                      UNI   ATT1700000000001100
P269915536000133360           CORREIA A-71                                      UNI   ATT1700000000001115
P269915536000133361           CORREIA A-72                                      UNI   ATT1700000000001200
P269915536000133362           CORREIA A-73                                      UNI   ATT1700000000001100
P269915536000133363           CORREIA A-74                                      UNI   ATT1700000000001060
